"source"	"target"	"weight"	"dia"	"x"	"y"	"xend"	"yend"
"1"	"AD"	"ES"	3	2021-01-28	1.601554	42.546245	-3.74922	40.463667
"2"	"AE"	"AT"	2	2021-01-28	53.847818	23.424076	14.550072	47.516231
"3"	"AE"	"AU"	7	2021-01-28	53.847818	23.424076	133.775136	-25.274398
"4"	"AE"	"BF"	1	2021-01-28	53.847818	23.424076	-1.561593	12.238333
"5"	"AE"	"BR"	2	2021-01-28	53.847818	23.424076	-51.92528	-14.235004
"6"	"AE"	"CA"	12	2021-01-28	53.847818	23.424076	-106.346771	56.130366
"7"	"AE"	"CN"	1	2021-01-28	53.847818	23.424076	104.195397	35.86166
"8"	"AE"	"DE"	2	2021-01-28	53.847818	23.424076	10.451526	51.165691
"9"	"AE"	"DK"	1	2021-01-28	53.847818	23.424076	9.501785	56.26392
"10"	"AE"	"EG"	4	2021-01-28	53.847818	23.424076	30.802498	26.820553
"11"	"AE"	"FR"	4	2021-01-28	53.847818	23.424076	2.213749	46.227638
"12"	"AE"	"GB"	19	2021-01-28	53.847818	23.424076	-3.435973	55.378051
"13"	"AE"	"GR"	1	2021-01-28	53.847818	23.424076	21.824312	39.074208
"14"	"AE"	"HK"	4	2021-01-28	53.847818	23.424076	114.109497	22.396428
"15"	"AE"	"HU"	1	2021-01-28	53.847818	23.424076	19.503304	47.162494
"16"	"AE"	"ID"	1	2021-01-28	53.847818	23.424076	113.921327	-0.789275
"17"	"AE"	"IE"	1	2021-01-28	53.847818	23.424076	-8.24389	53.41291
"18"	"AE"	"IN"	13	2021-01-28	53.847818	23.424076	78.96288	20.593684
"19"	"AE"	"IR"	1	2021-01-28	53.847818	23.424076	53.688046	32.427908
"20"	"AE"	"IT"	8	2021-01-28	53.847818	23.424076	12.56738	41.87194
"21"	"AE"	"JM"	1	2021-01-28	53.847818	23.424076	-77.297508	18.109581
"22"	"AE"	"JO"	12	2021-01-28	53.847818	23.424076	36.238414	30.585164
"23"	"AE"	"JP"	1	2021-01-28	53.847818	23.424076	138.252924	36.204824
"24"	"AE"	"KR"	1	2021-01-28	53.847818	23.424076	127.766922	35.907757
"25"	"AE"	"KW"	1	2021-01-28	53.847818	23.424076	47.481766	29.31166
"26"	"AE"	"KZ"	2	2021-01-28	53.847818	23.424076	66.923684	48.019573
"27"	"AE"	"LB"	3	2021-01-28	53.847818	23.424076	35.862285	33.854721
"28"	"AE"	"LU"	1	2021-01-28	53.847818	23.424076	6.129583	49.815273
"29"	"AE"	"MA"	3	2021-01-28	53.847818	23.424076	-7.09262	31.791702
"30"	"AE"	"MK"	1	2021-01-28	53.847818	23.424076	21.745275	41.608635
"31"	"AE"	"MY"	2	2021-01-28	53.847818	23.424076	101.975766	4.210484
"32"	"AE"	"NG"	3	2021-01-28	53.847818	23.424076	8.675277	9.081999
"33"	"AE"	"NL"	2	2021-01-28	53.847818	23.424076	5.291266	52.132633
"34"	"AE"	"NP"	1	2021-01-28	53.847818	23.424076	84.124008	28.394857
"35"	"AE"	"OM"	4	2021-01-28	53.847818	23.424076	55.923255	21.512583
"36"	"AE"	"PA"	1	2021-01-28	53.847818	23.424076	-80.782127	8.537981
"37"	"AE"	"PH"	1	2021-01-28	53.847818	23.424076	121.774017	12.879721
"38"	"AE"	"PK"	7	2021-01-28	53.847818	23.424076	69.345116	30.375321
