"V1"	"V2"	"V3"	"cantidad"
"1"	"Universidad Tecnologica de Pereira, Colombia"	4.78899845	-75.6907268308951	13
"3"	"Hospital Vall d'Hebron, Spain"	41.4267719	2.14020432898055	8
"4"	"Universitat de Barcelona, Spain"	41.3868913	2.16352384576632	7
"5"	"Hospital Universitario La Paz, Madrid, Spain"	40.48144225	-3.68725318704749	6
"6"	"Universidad de Valencia, Spain"	39.47187235	-0.372939201109851	6
"7"	"Universidade de Sao Paulo, Brazil"	-23.5597692	-46.7220744	6
"8"	"Universidade do Porto, Portugal"	41.1469068	-8.6158066	6
"9"	"Hospital Universitari Germans Trias i Pujol, Spain"	41.4810542	2.2381723732976	5
"10"	"Universidad Cientifica del Sur, Lima, Peru"	-12.2197506	-76.978448882353	5
"11"	"Universidade Federal de Minas Gerais, Brazil"	-19.86824855	-43.9670829892348	5
"12"	"Hospital Universitario 12 de Octubre, Madrid, Spain"	40.3766795	-3.69886332684134	4
"13"	"Universidad Nacional Autonoma de Honduras, Honduras"	14.0855295	-87.1649581685496	4
"14"	"Universidade do Lisboa, Portugal"	38.6636057	-9.2071729	4
"15"	"Beneficiência Portuguesa de Sao Paulo, Brazil"	-22.9040963	-47.069022	3
"16"	"Instituto Nacional de Salud Publica, Mexico"	18.9775519	-99.2462215	3
"17"	"Universidad Central de Venezuela, Venezuela"	10.49013605	-66.8915282567193	3
"18"	"Universidad de Antioquia, Colombia"	6.2678539	-75.5690221	3
"19"	"Universidade Estadual de Campinas, Brazil"	-22.82275955	-47.0641447593658	3
"20"	"Hospital Aleman, Argentina"	-34.59183995	-58.4019836117259	2
"21"	"Hospital de Santa Maria, Lisboa, Portugal"	38.7485851	-9.16085112466137	2
"22"	"Hospital del Mar, Spain"	41.383587	2.19402510679321	2
"23"	"Hospital Marques de Valdecilla, Spain"	43.45581635	-3.82950467484611	2
"24"	"Hospital Medica Sur, Mexico"	19.2972289	-99.1613691	2
"25"	"Hospital Sant Joan de Deu, Spain"	41.3843547	2.10190531549103	2
"26"	"Hospital Universitario de Getafe, Madrid, Spain"	40.31262275	-3.74264443215338	2
"27"	"Hospital Universitario de La Princesa, Spain"	40.4340157	-3.67575310945409	2
"28"	"Ministerio de Salud, Bolivia"	-16.5042566	-68.1316105	2
"29"	"Pontificia Universidad Catolica de Chile, Chile"	-33.4417702	-70.6403049621662	2
"30"	"Universidad Franz Tamayo/UNIFRANZ, Bolivia"	-16.5085611	-68.1662557906368	2
"31"	"Universidad Peruana Cayetano Heredia, Peru"	-12.0912436	-77.051866549308	2
"32"	"Universidad San Francisco de Quito USFQ, Ecuador"	-0.196111	-78.435556	2
"33"	"Universidade Nova de Lisboa, Portugal"	38.71955675	-9.13916267074389	2
