"item1"	"item2"	"weight"
"1"	"taste"	"smell"	18.7373979245688
"2"	"smell"	"taste"	18.7373979245688
"3"	"lactate"	"dehydrogenase"	15.8925276056773
"4"	"dehydrogenase"	"lactate"	15.8925276056773
"5"	"arb"	"blocker"	15.8156632391843
"6"	"blocker"	"arb"	15.8156632391843
"7"	"ritonavir"	"lopinavir"	14.9941146418697
"8"	"lopinavir"	"ritonavir"	14.9941146418697
"9"	"neck"	"head"	14.6033595364028
"10"	"head"	"neck"	14.6033595364028
"11"	"breath"	"shortness"	13.6192908951959
"12"	"shortness"	"breath"	13.6192908951959
"13"	"auc"	"roc"	12.9284900265714
"14"	"roc"	"auc"	12.9284900265714
"15"	"ecmo"	"oxygenation"	11.8707674528104
"16"	"oxygenation"	"ecmo"	11.8707674528104
"17"	"ldh"	"dehydrogenase"	10.9255560599463
"18"	"dehydrogenase"	"ldh"	10.9255560599463
"19"	"ggo"	"consolidation"	10.5180336998795
"20"	"consolidation"	"ggo"	10.5180336998795
"21"	"recipient"	"transplant"	9.89312480235294
"22"	"transplant"	"recipient"	9.89312480235294
"23"	"ng"	"ml"	9.80450712786835
"24"	"ml"	"ng"	9.80450712786834
"25"	"humidity"	"temperature"	9.3656546608254
"26"	"temperature"	"humidity"	9.3656546608254
"27"	"thousand"	"hundred"	9.35214275641785
"28"	"hundred"	"thousand"	9.35214275641785
"29"	"neonate"	"mother"	8.57048800523763
"30"	"mother"	"neonate"	8.57048800523763
"31"	"hr"	"cox"	8.54235071404522
"32"	"cox"	"hr"	8.54235071404522
"33"	"opacity"	"ggo"	8.46768431491442
"34"	"ggo"	"opacity"	8.46768431491442
"35"	"95"	"ci"	8.18139190030184
"36"	"ci"	"95"	8.18139190030184
"37"	"glass"	"ground"	8.09008725836437
"38"	"ground"	"glass"	8.09008725836437
"39"	"heparin"	"weight"	8.06890459386842
"40"	"weight"	"heparin"	8.06890459386842
"41"	"opacity"	"glass"	8.06015075730354
"42"	"glass"	"opacity"	8.06015075730354
"43"	"glass"	"ggo"	8.0463425614692
"44"	"ggo"	"glass"	8.0463425614692
"45"	"diarrhea"	"nausea"	7.98493340385989
"46"	"nausea"	"diarrhea"	7.98493340385989
"47"	"hcq"	"hydroxychloroquine"	7.75438315328531
"48"	"hydroxychloroquine"	"hcq"	7.75438315328531
"49"	"race"	"ethnicity"	7.62517223525704
"50"	"ethnicity"	"race"	7.62517223525704
"51"	"opacity"	"ground"	7.59427871319637
"52"	"ground"	"opacity"	7.59427871319637
"53"	"ggo"	"ground"	7.56590511453428
"54"	"ground"	"ggo"	7.56590511453428
"55"	"iga"	"igg"	7.56079549660735
"56"	"igg"	"iga"	7.56079549660735
"57"	"hazard"	"cox"	7.49528580530216
"58"	"cox"	"hazard"	7.49528580530216
"59"	"igm"	"igg"	7.37305565357647
"60"	"igg"	"igm"	7.37305565357647
"61"	"consolidation"	"opacity"	6.91934134473153
"62"	"opacity"	"consolidation"	6.91934134473153
"63"	"recipient"	"transplantation"	6.85585190137247
"64"	"transplantation"	"recipient"	6.85585190137247
"65"	"ecmo"	"membrane"	6.85154866250224
"66"	"membrane"	"ecmo"	6.85154866250224
"67"	"hr"	"hazard"	6.72522219516838
"68"	"hazard"	"hr"	6.72522219516838
"69"	"consolidation"	"glass"	6.71748523488456
"70"	"glass"	"consolidation"	6.71748523488456
"71"	"oxygan"	"saturation"	6.66122786632162
"72"	"saturation"	"oxygan"	6.66122786632162
"73"	"transplantation"	"transplant"	6.62102358769459
"74"	"transplant"	"transplantation"	6.62102358769459
"75"	"cfr"	"fatality"	6.54621227787374
"76"	"fatality"	"cfr"	6.54621227787374
"77"	"ldh"	"crp"	6.53497545697408
"78"	"crp"	"ldh"	6.53497545697408
"79"	"task"	"force"	6.36400129084124
"80"	"force"	"task"	6.36400129084124
"81"	"receiver"	"curve"	6.35429203235984
"82"	"curve"	"receiver"	6.35429203235984
"83"	"ground"	"consolidation"	6.31087159256468
"84"	"consolidation"	"ground"	6.31087159256468
"85"	"mother"	"infant"	6.15396677290906
"86"	"infant"	"mother"	6.15396677290906
"87"	"tnf"	"il"	6.06514352036845
"88"	"il"	"tnf"	6.06514352036845
"89"	"rbd"	"domain"	6.05226546321728
"90"	"domain"	"rbd"	6.05226546321728
"91"	"cochrane"	"embase"	5.98613923650143
"92"	"embase"	"cochrane"	5.98613923650143
"93"	"azithromycin"	"hydroxychloroquine"	5.74090130768229
"94"	"hydroxychloroquine"	"azithromycin"	5.74090130768229
"95"	"aki"	"kidney"	5.58983287981079
"96"	"kidney"	"aki"	5.58983287981079
"97"	"roc"	"curve"	5.5620509869334
"98"	"curve"	"roc"	5.5620509869334
"99"	"immunosuppression"	"transplant"	5.53206240721978
"100"	"transplant"	"immunosuppression"	5.53206240721978
"101"	"transcriptase"	"reverse"	5.48371252739428
"102"	"reverse"	"transcriptase"	5.48371252739428
"103"	"blocker"	"ace"	5.46008343896659
"104"	"ace"	"blocker"	5.46008343896659
"105"	"compound"	"docking"	5.4195030486314
"106"	"docking"	"compound"	5.4195030486314
"107"	"igg"	"immunoassay"	5.40660236628905
"108"	"immunoassay"	"igg"	5.40660236628905
"109"	"hydroxychloroquine"	"chloroquine"	5.33725323976379
"110"	"chloroquine"	"hydroxychloroquine"	5.33725323976379
"111"	"reactivity"	"cross"	5.28699299296487
"112"	"cross"	"reactivity"	5.28699299296487
"113"	"pollution"	"air"	5.27984402389327
"114"	"air"	"pollution"	5.27984402389327
