"PMID"	"Title"	"YearPubmed"	"MonthPubmed"	"DayPubmed"	"Date"	"country"	"iso"	"chloroquine"	"hydroxychloroquine"	"remdesivir"	"ritonavir"	"lopinavir"	"favipiravir"	"azithromycin"	"tocilizumab"	"antivirals"	"interferon"	"antibodies"	"vaccine"	"Inst"	"lat"	"long"
"1"	32184199	"Working together to contain and manage COVID-19."	2020	3	19	2020-03-19	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"2"	32286552	"Working in isolation to find a cure for COVID-19."	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"3"	32217707	"With COVID-19, modeling takes on life and death importance."	2020	3	29	2020-03-29	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"4"	32287808	"Why the WHO won't use the p-word."	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"5"	32265541	"Why measles deaths are surging - and coronavirus could make it worse."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"6"	32283099	"Why does SARS-CoV-2 invade the gastrointestinal epithelium?"	2020	4	14	2020-04-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"7"	32265007	"Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"8"	32234957	"WHO must prioritise the needs of older people in its response to the covid-19 pandemic."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"9"	32222188	"WHO launches crowdfund for COVID-19 response."	2020	3	31	2020-03-31	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"10"	32218546	"What the cruise-ship outbreaks reveal about COVID-19."	2020	3	29	2020-03-29	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"11"	32035538	"What next for the coronavirus response?"	2020	2	10	2020-02-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"12"	32287789	"What happens next?"	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"13"	32282428	"What's Old is New! Similarities Between SARS-CoV-2 and HIV."	2020	4	14	2020-04-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"14"	32223707	"We're in this together: helping veterinarians navigate COVID-19."	2020	4	1	2020-04-01	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"15"	32171754	"Washing our hands of the problem."	2020	3	17	2020-03-17	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"16"	32169616	"Washing our hands of the problem."	2020	3	15	2020-03-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"17"	32080990	"Virus Isolation from the First Patient with SARS-CoV-2 in Korea."	2020	2	23	2020-02-23	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"18"	32278374	"Virtual health care in the era of COVID-19."	2020	4	13	2020-04-13	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"19"	32273607	"Virological assessment of SARS-CoV-2."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"20"	32222187	"Venezuelan migrants &quot;struggling to survive&quot; amid COVID-19."	2020	3	31	2020-03-31	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"21"	32275256	"Vademecum for the treatment of people with COVID-19. Edition 2.0, 13 March 2020."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	1	1	0	0	0	""	NA	NA
"22"	32241928	"Vaccine designers take first shots at COVID-19."	2020	4	4	2020-04-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"23"	32222208	"US public health budget cuts in the face of COVID-19."	2020	3	31	2020-03-31	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"24"	32246910	"US NICUs and donor milk banks brace for COVID-19."	2020	4	5	2020-04-05	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"25"	32106216	"Update: Public Health Response to the Coronavirus Disease 2019 Outbreak - United States, February 24, 2020."	2020	2	28	2020-02-28	""	""	0	0	0	0	0	0	0	0	0	0	0	1	""	NA	NA
"26"	32246904	"UK senior police officer with COVID-19."	2020	4	5	2020-04-05	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"27"	32277870	"Tuberculosis and HIV responses threatened by COVID-19."	2020	4	12	2020-04-12	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"28"	32127517	"Transmission routes of 2019-nCoV and controls in dental practice."	2020	3	5	2020-03-05	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"29"	32170027	"Trainees and covid-19: your questions answered."	2020	3	15	2020-03-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"30"	32215641	"Toward Universal Deployable Guidelines for the Care of Patients With COVID-19."	2020	3	28	2020-03-28	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"31"	32146924	"Toning down the 2019-nCoV media hype-and restoring hope."	2020	3	10	2020-03-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"32"	32078803	"Timely research papers about COVID-19 in China."	2020	2	23	2020-02-23	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"33"	32273619	"Thousands of coronavirus tests are going unused in US labs."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"34"	31992886	"This scientist hopes to test coronavirus drugs on animals in locked-down Wuhan."	2020	1	30	2020-01-30	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"35"	32127666	"Therapeutic options for the 2019 novel coronavirus (2019-nCoV)."	2020	3	5	2020-03-05	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"36"	32248871	"The twitter pandemic: The critical role of twitter in the dissemination of medical information and misinformation during the COVID-19 Pandemic."	2020	4	7	2020-04-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"37"	32275291	"The Spectrum of Neurologic Disease in the Severe Acute Respiratory Syndrome Coronavirus 2 Pandemic Infection: Neurologists Move to the Frontlines."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"38"	32123347	"The species Severe acute respiratory syndrome-related coronavirus: classifying 2019-nCoV and naming it SARS-CoV-2."	2020	3	4	2020-03-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"39"	32265538	"The pandemic in pictures: how coronavirus is changing the world."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"40"	32227474	"The human rights of children with disabilities during health emergencies: the challenge of COVID-19."	2020	4	1	2020-04-01	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"41"	32226284	"The global battle against SARS-CoV-2 and COVID-19."	2020	4	1	2020-04-01	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"42"	32278370	"The gendered dimensions of COVID-19."	2020	4	13	2020-04-13	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"43"	32243296	"The Essential Role of Patient Blood Management in a Pandemic: A Call for Action."	2020	4	4	2020-04-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
