"NCT Number"	"Locations"	"country"	"ISO2"	"latitude"	"longitude"
"1"	"NCT04333550"	"Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of"	"Iran"	"IR"	32.427908	53.688046
"2"	"NCT04336904"	"Asst Fatebenefratelli Sacco, Milano, Italy"	"Italy"	"IT"	41.87194	12.56738
"3"	"NCT04345445"	"University Malaya Medical Centre, Kuala Lumpur, Malaysia"	"Malaysia"	"MY"	4.210484	101.975766
"4"	"NCT04331509"	"Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom"	"UK"	"GB"	55.378051	-3.435973
"5"	"NCT04343183"	"Ochsner Medical Center, New Orleans, Louisiana, United States"	"USA"	"US"	37.09024	-95.712891
"6"	"NCT04342637"	"Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of"	"Iran"	"IR"	32.427908	53.688046
"7"	"NCT04333407"	"Charing Cross Hospital, London, United Kingdom"	"UK"	"GB"	55.378051	-3.435973
"8"	"NCT04336462"	"First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China"	"China"	"CN"	35.86166	104.195397
"9"	"NCT04324489"	"Renmin Hospital of Wuhan University, Wuhan, Hubei, China"	"China"	"CN"	35.86166	104.195397
"10"	"NCT04347993"	"Hackensack Meridian Health - John Theurer Cancer Center, Hackensack, New Jersey, United States"	"USA"	"US"	37.09024	-95.712891
"11"	"NCT04335123"	"University of Kansas Medical Center, Kansas City, Kansas, United States"	"USA"	"US"	37.09024	-95.712891
"12"	"NCT04350593"	"Saint Luke's Mid America Heart Institute, Kansas City, Missouri, United States"	"USA"	"US"	37.09024	-95.712891
"13"	"NCT04333420"	"University Amsterdam, Amsterdam, Netherlands|University Amsterdam, Amsterdam, Netherlands|University Maastricht, Maastricht, Netherlands"	"Netherlands"	"NL"	52.132633	5.291266
"14"	"NCT04343755"	"Hackensack University Medical Center, Hackensack, New Jersey, United States"	"USA"	"US"	37.09024	-95.712891
"15"	"NCT04352582"	"Survey, London, United Kingdom"	"UK"	"GB"	55.378051	-3.435973
"16"	"NCT04329611"	"University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada"	"Canada"	"CA"	56.130366	-106.346771
"17"	"NCT04321421"	"Catherine Klersy, Pavia, PV, Italy"	"Italy"	"IT"	41.87194	12.56738
"18"	"NCT04351659"	"National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore"	"Singapore"	"SG"	1.352083	103.819836
"19"	"NCT04344015"	"Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States"	"USA"	"US"	37.09024	-95.712891
"20"	"NCT04323332"	"Hao Li, Beijing, Beijing, China"	"China"	"CN"	35.86166	104.195397
"21"	"NCT04339660"	"Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China"	"China"	"CN"	35.86166	104.195397
"22"	"NCT04306497"	"Huai'an fourth people's Hospital, Huaian, Jiangsu, China"	"China"	"CN"	35.86166	104.195397
"23"	"NCT04287686"	"GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China"	"China"	"CN"	35.86166	104.195397
"24"	"NCT04344145"	"Erasme Hospital CUB, Brussels, Belgium"	"Belgium"	"BE"	50.503887	4.469936
"25"	"NCT04324996"	"Chongqing Public Health Medical Center, Chongqing, China"	"China"	"CN"	35.86166	104.195397
"26"	"NCT04340232"	"University of Colorado, Denver, Aurora, Colorado, United States"	"USA"	"US"	37.09024	-95.712891
"27"	"NCT04321993"	"Nova Scotia Health Authority, Halifax, Nova Scotia, Canada"	"Canada"	"CA"	56.130366	-106.346771
"28"	"NCT04343768"	"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	"Iran"	"IR"	32.427908	53.688046
"29"	"NCT04329832"	"Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States"	"USA"	"US"	37.09024	-95.712891
"30"	"NCT04252118"	"Beijing 302 Military Hospital of China, Beijing, China"	"China"	"CN"	35.86166	104.195397
