"Title"	"country"	"ISO2"	"Link"	"latitude"	"longitude"
"Risk Factors for Anxiety and Depression Among Pregnant Women During the COVID-19 Pandemic - a Web-based Cross-sectional Survey"	"Albania"	"AL"	"https://clinicaltrials.gov/show/NCT04377412"	41.153332	20.168331
"Risk Factors for Anxiety and Depression Among Pregnant Women During the COVID-19 Pandemic - a Web-based Cross-sectional Survey"	"Albania"	"AL"	"https://clinicaltrials.gov/show/NCT04377412"	41.153332	20.168331
"Prevalence of Diabetes Among Hospitalized Patients With Covid-19 in West of Algeria. Identification of Diabetes-related Associated Factors Severe Forms"	"Algeria"	"DZ"	"https://clinicaltrials.gov/show/NCT04412746"	28.033886	1.659626
"Reduced Frequency Hemodialysis in Prevalent Patients Due to the Coronavirus Disease"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04374058"	-38.416097	-63.616672
"An international randomised trial of additional treatments for COVID-19 in hospitalised patients who are all receiving the local standard of care - Solidarity"	"Argentina"	"AR"	"https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001366-11"	-38.416097	-63.616672
"
                An international randomized trial of additional treatments for COVID-19 in hospitalized patients who are all receiving the local standard of care
"	"Argentina"	"AR"	"http://isrctn.com/ISRCTN83971151"	-38.416097	-63.616672
"A randomized, double-blind, placebo-controlled, study evaluating the efficacy and safety of otilimab IV in patients with severe pulmonary COVID-19 related disease. - OSCAR"	"Argentina"	"AR"	"https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001759-42"	-38.416097	-63.616672
"An International Observational Study of Outpatients With SARS-CoV-2 Infection"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04385251"	-38.416097	-63.616672
"An International Observational Study of Outpatients With SARS-CoV-2 Infection"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04385251"	-38.416097	-63.616672
"A Phase 2, Open-Label, Randomized Study of the Efficacy and Safety of Acalabrutinib with Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized with COVID-19 - CALAVI"	"Argentina"	"AR"	"https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001644-25"	-38.416097	-63.616672
"An Adaptive Phase 3, Randomized, Double-blind, Placebo-controlled Study Assessing Efficacy and Safety of Sarilumab for Hospitalized Patients With COVID19"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04327388"	-38.416097	-63.616672
"Effects of digital home exercise programs on physical and mental well-being during the COVID-19 pandemic: a multi-center trial - ASAP: Activity and health during the SARS-CoV2 pandemic"	"Argentina"	"AR"	"http://www.drks.de/DRKS00021273"	-38.416097	-63.616672
"A PHASE 2, OPEN LABEL, RANDOMIZED STUDY OF THE EFFICACY AND SAFETY OF
ACALABRUTINIB WITH BEST SUPPORTIVE CARE VERSUS BEST SUPPORTIVE CARE IN
SUBJECTS HOSPITALIZED WITH COVID-19
"	"Argentina"	"AR"	"https://www.ins.gob.pe/ensayosclinicos/rpec/recuperarECPBNuevoEN.asp?numec=018-20"	-38.416097	-63.616672
"The Impact of the Covid-19 Pandemic on the Mental Health of Workers in Health Services: The Covid-19 HEalth caRe wOrkErS (HEROES) Study"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04352634"	-38.416097	-63.616672
"The Impact of the Covid-19 Pandemic on the Mental Health of Workers in Health Services: The Covid-19 HEalth caRe wOrkErS (HEROES) Study"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04352634"	-38.416097	-63.616672
"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Phase 3 Study of Baricitinib in Patients With COVID-19 Infection"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04421027"	-38.416097	-63.616672
"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Phase 3 Study of Baricitinib in Patients With COVID-19 Infection"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04421027"	-38.416097	-63.616672
"A Prospective Study of Acute Immune Responses to SARSCoV-2 Infection"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04431414"	-38.416097	-63.616672
"A Prospective Study of Acute Immune Responses to SARSCoV-2 Infection"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04431414"	-38.416097	-63.616672
"The ECLA PHRI COLCOVID Trial"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04328480"	-38.416097	-63.616672
"Incidence and Implications With the Use of Nasal Cannulas During COVID-19"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04376580"	-38.416097	-63.616672
"Randomized, Double-blind, Placebo-controlled Trial of TAF/FTC for Pre-exposure Prophylaxis of COVID-19 in Healthcare Workers (CoviPrep Study)"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04405271"	-38.416097	-63.616672
"Randomized Controlled Trial of High Dose of Vitamin D as Compared With Placebo to Prevent Complications Among COVID-19 Patients"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04411446"	-38.416097	-63.616672
"Extended Compassionate Use Program (UCA) With Inhalational Ibuprofen in Patients With Acute Respiratory Pathology, Mediated by COVID-19."	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04382768"	-38.416097	-63.616672
"Randomized, Double-blind, Placebo-controlled Clinical Trial of Convalescent Plasma for the Treatment of COVID-19 Pneumonia With Severity Criteria"	"Argentina"	"AR"	"https://clinicaltrials.gov/show/NCT04383535"	-38.416097	-63.616672
